Number,Translator,Chinese Sentences,Gloss,Note
gen-01415,A,妈妈听没听音乐？,妈妈/音乐/听/问/。,
gen-01416,A,邻居喝没喝咖啡？,邻居/咖啡/喝/问/。,
gen-01417,A,他今天很麻烦。,他/今天/麻烦/。,
gen-01418,A,爸爸比你更忙。,爸爸/你/忙/更/。,
gen-01419,A,我听没听新闻？,我/新闻/听/问/。,
gen-01420,A,司机找没找文件？,司机/文件/找/问/。,
gen-01421,A,爸爸在食堂写了文件。,食堂/爸爸/文件/写/。,
gen-01422,A,邻居讨论了计划。,邻居/计划/讨论/。,
gen-01423,A,妈妈比你更认真。,妈妈/你/认真/更/。,
gen-01424,A,他们比大家更高。,他们/大家/高/更/。,
gen-01425,A,明天老板喝了牛奶。,明天/老板/牛奶/喝/。,
gen-01426,A,我们带了三份作业。,我们/三/份/作业/带/。,
gen-01427,A,她找了电脑。,她/电脑/找/。,
gen-01428,A,我们比护士更忙。,我们/护士/忙/更/。,
gen-01429,A,妈妈晚上讨论了办法。,妈妈/办法/讨论/晚上/。,
gen-01430,A,老板昨天吃了午饭。,老板/午饭/吃/昨天/。,
gen-01431,A,邻居晚上买了火车票。,邻居/火车票/买/晚上/。,
gen-01432,A,学生在宿舍准备了礼物。,宿舍/学生/礼物/准备/。,
gen-01433,A,老师今天找了文件。,老师/文件/找/今天/。,
gen-01434,A,她买了四本杂志。,她/四/本/杂志/买/。,
gen-01435,A,爸爸在市场听了消息。,市场/爸爸/消息/听/。,
gen-01436,A,孩子在深圳听了故事。,深圳/孩子/故事/听/。,
gen-01437,A,老板早上学了中文。,老板/中文/学/早上/。,
gen-01438,A,你喝没喝水？,你/水/喝/问/。,
gen-01439,A,下午邻居在广州写了消息，很快。,下午/邻居/广州/消息/写/很快/。,
gen-01440,A,她带了五个蛋糕。,她/五/个/蛋糕/带/。,
gen-01441,A,学生在银行讨论了消息。,银行/学生/消息/讨论/。,
gen-01442,A,老板没讨论办法。,老板/办法/讨论/没/。,
gen-01443,A,我准备没准备晚饭？,我/晚饭/准备/问/。,
gen-01444,A,今天医生喝了水。,今天/医生/水/喝/。,
gen-01445,A,周末护士做了晚饭。,周末/护士/晚饭/做/。,
gen-01446,A,妈妈看了一根香蕉。,妈妈/一/根/香蕉/看/。,
gen-01447,A,他比你更安静。,他/你/安静/更/。,
gen-01448,A,邻居不运动。,邻居/运动/不/。,
gen-01449,A,去年我们学了舞蹈。,去年/我们/舞蹈/学/。,
gen-01450,A,他们比她更快。,他们/她/快/更/。,
gen-01451,A,爸爸准备了一个面包。,爸爸/一/个/面包/准备/。,
gen-01452,A,妈妈今天很干净。,妈妈/今天/干净/。,
gen-01453,A,早上他们在公司写了作业，很久。,早上/他们/公司/作业/写/很久/。,
gen-01454,A,你在办公室写了消息。,办公室/你/消息/写/。,
gen-01455,A,护士刚才喝了牛奶。,护士/牛奶/喝/刚才/。,
gen-01456,A,孩子比他们更认真。,孩子/他们/认真/更/。,
gen-01457,A,明天客人学了中文。,明天/客人/中文/学/。,
gen-01458,A,她比护士更忙。,她/护士/忙/更/。,
gen-01459,A,今天他喝了水。,今天/他/水/喝/。,
gen-01460,A,护士买了四条新闻。,护士/四/条/新闻/买/。,
gen-01461,A,我早上吃了蛋糕。,我/蛋糕/吃/早上/。,
gen-01462,A,朋友今天学了舞蹈。,朋友/舞蹈/学/今天/。,
gen-01463,A,司机听没听新闻？,司机/新闻/听/问/。,
gen-01464,A,客人在公司看了电影。,公司/客人/电影/看/。,
gen-01465,A,她在市场找了问题。,市场/她/问题/找/。,
gen-01466,A,中午爸爸在宿舍吃了香蕉，很快。,中午/爸爸/宿舍/香蕉/吃/很快/。,
gen-01467,A,朋友喝没喝牛奶？,朋友/牛奶/喝/问/。,
gen-01468,A,老师看了一份礼物。,老师/一/份/礼物/看/。,
gen-01469,A,老师在深圳写了计划。,深圳/老师/计划/写/。,
gen-01470,A,周末同事听了音乐。,周末/同事/音乐/听/。,
gen-01471,A,老师今天很认真。,老师/今天/认真/。,
gen-01472,A,老师吃了晚饭。,老师/晚饭/吃/。,
gen-01473,A,孩子今天很开心。,孩子/今天/开心/。,
gen-01474,A,爸爸听没听新闻？,爸爸/新闻/听/问/。,
gen-01475,A,你做了作业。,你/作业/做/。,
gen-01476,A,今天孩子在图书馆看了消息，很久。,今天/孩子/图书馆/消息/看/很久/。,
gen-01477,A,他没有买手机。,他/手机/买/没有/。,
gen-01478,A,司机找了手机。,司机/手机/找/。,
gen-01479,A,我们没准备晚饭。,我们/晚饭/准备/没/。,
gen-01480,A,晚上邻居买了火车票。,晚上/邻居/火车票/买/。,
gen-01481,A,他比她更高。,他/她/高/更/。,
gen-01482,A,邻居今天很方便。,邻居/今天/方便/。,
gen-01483,A,刚才医生做了办法。,刚才/医生/办法/做/。,
gen-01484,A,她在办公室准备了文件。,办公室/她/文件/准备/。,
gen-01485,A,我们做没做办法？,我们/办法/做/问/。,
gen-01486,A,你不上课。,你/上课/不/。,
gen-01487,A,早上我们学了中文。,早上/我们/中文/学/。,
gen-01488,A,上周他们在银行看了新闻，很认真。,上周/他们/银行/新闻/看/很认真/。,
gen-01489,A,她下午准备了文件。,她/文件/准备/下午/。,
gen-01490,A,我今天听了音乐。,我/音乐/听/今天/。,
gen-01491,A,他们喝了水。,他们/水/喝/。,
gen-01492,A,爸爸比医生更认真。,爸爸/医生/认真/更/。,
gen-01493,A,老师早上买了药。,老师/药/买/早上/。,
gen-01494,A,邻居去年讨论了问题。,邻居/问题/讨论/去年/。,
gen-01495,A,司机周末找了手机。,司机/手机/找/周末/。,
gen-01496,A,同事准备了五个苹果。,同事/五/个/苹果/准备/。,
gen-01497,A,老师没有带礼物。,老师/礼物/带/没有/。,
gen-01498,A,上周老板在公园听了消息，很快。,上周/老板/公园/消息/听/很快/。,
gen-01499,A,你早上吃了午饭。,你/午饭/吃/早上/。,
gen-01500,A,医生不找办法。,医生/办法/找/不/。,
gen-01501,A,今天客人买了书。,今天/客人/书/买/。,
gen-01502,A,司机带了礼物。,司机/礼物/带/。,
gen-01503,A,刚才护士找了问题。,刚才/护士/问题/找/。,
gen-01504,A,下午老师在深圳做了晚饭，很认真。,下午/老师/深圳/晚饭/做/很认真/。,
gen-01505,A,刚才她在公园讨论了故事，很高兴。,刚才/她/公园/故事/讨论/很高兴/。,
gen-01506,A,医生买了报纸。,医生/报纸/买/。,
gen-01507,A,护士比他们更认真。,护士/他们/认真/更/。,
gen-01508,A,明天护士在医院准备了午饭，很快。,明天/护士/医院/午饭/准备/很快/。,
gen-01509,A,朋友不讨论消息。,朋友/消息/讨论/不/。,
gen-01510,A,我们买了四个故事。,我们/四/个/故事/买/。,
gen-01511,A,医生今天很安静。,医生/今天/安静/。,
gen-01512,A,刚才爸爸在上海买了面包，已经。,刚才/爸爸/上海/面包/买/已经/。,
gen-01513,A,他们比大家更安静。,他们/大家/安静/更/。,
gen-01514,A,他不带照片。,他/照片/带/不/。,
gen-01515,A,司机比护士更忙。,司机/护士/忙/更/。,
gen-01516,A,医生讨论了办法。,医生/办法/讨论/。,
gen-01517,A,朋友不看新闻。,朋友/新闻/看/不/。,
gen-01518,A,我比医生更高。,我/医生/高/更/。,
gen-01519,A,司机讨论了消息。,司机/消息/讨论/。,
gen-01520,A,医生带了照片。,医生/照片/带/。,
gen-01521,A,她今天很舒服。,她/今天/舒服/。,
gen-01522,A,学生今天很开心。,学生/今天/开心/。,
gen-01523,A,我讨论没讨论故事？,我/故事/讨论/问/。,
gen-01524,A,我们不看电视剧。,我们/电视剧/看/不/。,
gen-01525,A,爸爸今天很安静。,爸爸/今天/安静/。,
gen-01526,A,护士今天很认真。,护士/今天/认真/。,
gen-01527,A,同事在超市准备了礼物。,超市/同事/礼物/准备/。,
gen-01528,A,上周你在教室学了英语，已经。,上周/你/教室/英语/学/已经/。,
gen-01529,A,客人比大家更快。,客人/大家/快/更/。,
gen-01530,A,去年朋友讨论了问题。,去年/朋友/问题/讨论/。,
gen-01531,A,同事吃没吃香蕉？,同事/香蕉/吃/问/。,
gen-01532,A,护士在食堂找了手机。,食堂/护士/手机/找/。,
gen-01533,A,中午他们在广州带了文件，很认真。,中午/他们/广州/文件/带/很认真/。,
gen-01534,A,老师买没买衣服？,老师/衣服/买/问/。,
gen-01535,A,客人没有听消息。,客人/消息/听/没有/。,
gen-01536,A,朋友没有写故事。,朋友/故事/写/没有/。,
gen-01537,A,你在车站喝了牛奶。,车站/你/牛奶/喝/。,
gen-01538,A,晚上司机在门口带了礼物，很久。,晚上/司机/门口/礼物/带/很久/。,
gen-01539,A,客人写没写计划？,客人/计划/写/问/。,
gen-01540,A,同事比他更快。,同事/他/快/更/。,
gen-01541,A,他今天很开心。,他/今天/开心/。,
gen-01542,A,爸爸在超市喝了咖啡。,超市/爸爸/咖啡/喝/。,
gen-01543,A,妈妈明天喝了水。,妈妈/水/喝/明天/。,
gen-01544,A,我写没写计划？,我/计划/写/问/。,
gen-01545,A,我们听没听故事？,我们/故事/听/问/。,
gen-01546,A,我在银行写了文件。,银行/我/文件/写/。,
gen-01547,A,今天学生带了文件。,今天/学生/文件/带/。,
gen-01548,A,下午大家在办公室准备了比赛，很快。,下午/大家/办公室/比赛/准备/很快/。,
gen-01549,A,大家今天很清楚。,大家/今天/清楚/。,
gen-01550,A,护士听没听故事？,护士/故事/听/问/。,
gen-01551,A,我们比爸爸更快。,我们/爸爸/快/更/。,
gen-01552,A,学生准备了三瓶水。,学生/三/瓶/水/准备/。,
gen-01553,A,我们做了早饭。,我们/早饭/做/。,
gen-01554,A,爸爸买没买书？,爸爸/书/买/问/。,
gen-01555,A,他们今天看了电视剧。,他们/电视剧/看/今天/。,
gen-01556,A,去年我们在银行写了消息，很高兴。,去年/我们/银行/消息/写/很高兴/。,
gen-01557,A,客人没旅行。,客人/旅行/没/。,
gen-01558,A,明天同事在银行带了手机，一起。,明天/同事/银行/手机/带/一起/。,
gen-01559,A,她买了四件衣服。,她/四/件/衣服/买/。,
gen-01560,A,护士今天做了晚饭。,护士/晚饭/做/今天/。,
gen-01561,A,司机带了五个问题。,司机/五/个/问题/带/。,
gen-01562,A,大家中午讨论了故事。,大家/故事/讨论/中午/。,
gen-01563,A,晚上你买了药。,晚上/你/药/买/。,
gen-01564,A,她写没写作业？,她/作业/写/问/。,
gen-01565,A,学生在上海听了故事。,上海/学生/故事/听/。,
gen-01566,A,中午你找了电脑。,中午/你/电脑/找/。,
gen-01567,A,老板比学生更忙。,老板/学生/忙/更/。,
gen-01568,A,我没有听音乐。,我/音乐/听/没有/。,
gen-01569,A,司机在医院做了计划。,医院/司机/计划/做/。,
gen-01570,A,老板比你更忙。,老板/你/忙/更/。,
gen-01571,A,医生在商店做了午饭。,商店/医生/午饭/做/。,
gen-01572,A,今天爸爸在食堂做了早饭，很久。,今天/爸爸/食堂/早饭/做/很久/。,
gen-01573,A,他看没看地图？,他/地图/看/问/。,
gen-01574,A,爸爸在银行买了面包。,银行/爸爸/面包/买/。,
gen-01575,A,我们在饭店找了问题。,饭店/我们/问题/找/。,
gen-01576,A,明天老师写了计划。,明天/老师/计划/写/。,
gen-01577,A,朋友喝没喝水？,朋友/水/喝/问/。,
gen-01578,A,我在公司学了舞蹈。,公司/我/舞蹈/学/。,
gen-01579,A,医生看了四份礼物。,医生/四/份/礼物/看/。,
gen-01580,A,客人在教室听了音乐。,教室/客人/音乐/听/。,
gen-01581,A,大家带了五台电脑。,大家/五/台/电脑/带/。,
gen-01582,A,学生今天很高兴。,学生/今天/高兴/。,
gen-01583,A,我们写了消息。,我们/消息/写/。,
gen-01584,A,她今天很简单。,她/今天/简单/。,
gen-01585,A,司机在超市讨论了办法。,超市/司机/办法/讨论/。,
gen-01586,A,她写了计划。,她/计划/写/。,
gen-01587,A,去年同事找了办法。,去年/同事/办法/找/。,
gen-01588,A,医生比妈妈更认真。,医生/妈妈/认真/更/。,
gen-01589,A,中午老板讨论了消息。,中午/老板/消息/讨论/。,
gen-01590,A,妈妈买了礼物。,妈妈/礼物/买/。,
gen-01591,A,我们做了午饭。,我们/午饭/做/。,
gen-01592,A,同事早上买了苹果。,同事/苹果/买/早上/。,
gen-01593,A,下午同事在学校写了消息，一起。,下午/同事/学校/消息/写/一起/。,
gen-01594,A,上周老师准备了早饭。,上周/老师/早饭/准备/。,
gen-01595,A,去年他们带了电脑。,去年/他们/电脑/带/。,
gen-01596,A,周末爸爸在车站准备了比赛，已经。,周末/爸爸/车站/比赛/准备/已经/。,
gen-01597,A,昨天客人在北京做了办法，很高兴。,昨天/客人/北京/办法/做/很高兴/。,
gen-01598,A,晚上医生在办公室买了香蕉，很高兴。,晚上/医生/办公室/香蕉/买/很高兴/。,
gen-01599,A,老板上周看了报纸。,老板/报纸/看/上周/。,
gen-01600,A,老板比客人更安静。,老板/客人/安静/更/。,
gen-01601,A,下午护士喝了咖啡。,下午/护士/咖啡/喝/。,
gen-01602,A,我早上听了故事。,我/故事/听/早上/。,
gen-01603,A,明天护士在上海带了电脑，很高兴。,明天/护士/上海/电脑/带/很高兴/。,
gen-01604,A,我买了两部电视剧。,我/两/部/电视剧/买/。,
gen-01605,A,学生刚才写了文件。,学生/文件/写/刚才/。,
gen-01606,A,他昨天学了舞蹈。,他/舞蹈/学/昨天/。,
gen-01607,A,今天司机学了中文。,今天/司机/中文/学/。,
gen-01608,A,她没有准备文件。,她/文件/准备/没有/。,
gen-01609,A,司机喝了牛奶。,司机/牛奶/喝/。,
gen-01610,A,他写了作业。,他/作业/写/。,
gen-01611,A,昨天邻居看了新闻。,昨天/邻居/新闻/看/。,
gen-01612,A,他们不去商店。,他们/商店/去/不/。,
gen-01613,A,大家带了两瓶水。,大家/两/瓶/水/带/。,
gen-01614,A,邻居看没看消息？,邻居/消息/看/问/。,
gen-01615,A,他比她更安静。,他/她/安静/更/。,
gen-01616,A,他们买了一条消息。,他们/一/条/消息/买/。,
gen-01617,A,老板没排队。,老板/排队/没/。,
gen-01618,A,他们比护士更高。,他们/护士/高/更/。,
gen-01619,A,同事刚才学了英语。,同事/英语/学/刚才/。,
gen-01620,A,学生学没学中文？,学生/中文/学/问/。,
gen-01621,A,昨天护士在图书馆带了手机，很久。,昨天/护士/图书馆/手机/带/很久/。,
gen-01622,A,早上客人在学校喝了牛奶，很久。,早上/客人/学校/牛奶/喝/很久/。,
gen-01623,A,下午爸爸听了故事。,下午/爸爸/故事/听/。,
gen-01624,A,医生在教室看了电视剧。,教室/医生/电视剧/看/。,
gen-01625,A,司机准备了晚饭。,司机/晚饭/准备/。,
gen-01626,A,老板在银行准备了比赛。,银行/老板/比赛/准备/。,
gen-01627,A,昨天我们学了英语。,昨天/我们/英语/学/。,
gen-01628,A,她比他们更高。,她/他们/高/更/。,
gen-01629,A,刚才朋友在医院找了办法，很认真。,刚才/朋友/医院/办法/找/很认真/。,
gen-01630,A,医生没有上班。,医生/上班/没有/。,
gen-01631,A,大家比妈妈更认真。,大家/妈妈/认真/更/。,
gen-01632,A,晚上邻居在宿舍听了故事，很高兴。,晚上/邻居/宿舍/故事/听/很高兴/。,
gen-01633,A,司机准备了两部电视剧。,司机/两/部/电视剧/准备/。,
gen-01634,A,她讨论了问题。,她/问题/讨论/。,
gen-01635,A,晚上我买了鞋。,晚上/我/鞋/买/。,
gen-01636,A,朋友比我们更忙。,朋友/我们/忙/更/。,
gen-01637,A,邻居比她更高。,邻居/她/高/更/。,
gen-01638,A,司机听没听消息？,司机/消息/听/问/。,
gen-01639,A,司机准备了三张照片。,司机/三/张/照片/准备/。,
gen-01640,A,朋友带没带药？,朋友/药/带/问/。,
gen-01641,A,你学了中文。,你/中文/学/。,
gen-01642,A,朋友在银行学了英语。,银行/朋友/英语/学/。,
gen-01643,A,你今天很紧张。,你/今天/紧张/。,
gen-01644,A,客人早上准备了计划。,客人/计划/准备/早上/。,
gen-01645,A,司机早上学了中文。,司机/中文/学/早上/。,
gen-01646,A,她在市场找了办法。,市场/她/办法/找/。,
gen-01647,A,客人找没找办法？,客人/办法/找/问/。,
gen-01648,A,你学没学英语？,你/英语/学/问/。,
gen-01649,A,大家今天很便宜。,大家/今天/便宜/。,
gen-01650,A,同事比爸爸更忙。,同事/爸爸/忙/更/。,
gen-01651,A,我找了手机。,我/手机/找/。,
gen-01652,A,同事去年做了办法。,同事/办法/做/去年/。,
gen-01653,A,朋友学了中文。,朋友/中文/学/。,
gen-01654,A,同事在食堂学了英语。,食堂/同事/英语/学/。,
gen-01655,A,学生看了报纸。,学生/报纸/看/。,
gen-01656,A,大家买了一张火车票。,大家/一/张/火车票/买/。,
gen-01657,A,她带了一本杂志。,她/一/本/杂志/带/。,
gen-01658,A,朋友吃没吃面包？,朋友/面包/吃/问/。,
gen-01659,A,老板在北京学了英语。,北京/老板/英语/学/。,
gen-01660,A,下午大家在宿舍做了计划，很认真。,下午/大家/宿舍/计划/做/很认真/。,
gen-01661,A,晚上老板在深圳做了晚饭，一起。,晚上/老板/深圳/晚饭/做/一起/。,
gen-01662,A,同事准备了四部电影。,同事/四/部/电影/准备/。,
gen-01663,A,上周老师写了消息。,上周/老师/消息/写/。,
gen-01664,A,爸爸找了办法。,爸爸/办法/找/。,
gen-01665,A,邻居没有去北京。,邻居/北京/去/没有/。,
gen-01666,A,去年朋友写了作业。,去年/朋友/作业/写/。,
gen-01667,A,老板比司机更认真。,老板/司机/认真/更/。,
gen-01668,A,同事没旅行。,同事/旅行/没/。,
gen-01669,A,爸爸学没学舞蹈？,爸爸/舞蹈/学/问/。,
gen-01670,A,朋友看没看比赛？,朋友/比赛/看/问/。,
gen-01671,A,邻居在车站带了照片。,车站/邻居/照片/带/。,
gen-01672,A,他们吃没吃药？,他们/药/吃/问/。,
gen-01673,A,大家周末听了消息。,大家/消息/听/周末/。,
gen-01674,A,医生比大家更高。,医生/大家/高/更/。,
gen-01675,A,老师做没做午饭？,老师/午饭/做/问/。,
gen-01676,A,学生周末买了蛋糕。,学生/蛋糕/买/周末/。,
gen-01677,A,医生准备了一瓶牛奶。,医生/一/瓶/牛奶/准备/。,
gen-01678,A,医生没写文件。,医生/文件/写/没/。,
gen-01679,A,学生比孩子更快。,学生/孩子/快/更/。,
gen-01680,A,明天老师吃了晚饭。,明天/老师/晚饭/吃/。,
gen-01681,A,护士准备了四份礼物。,护士/四/份/礼物/准备/。,
gen-01682,A,你在广州看了书。,广州/你/书/看/。,
gen-01683,A,我们买了三份作业。,我们/三/份/作业/买/。,
gen-01684,A,他们准备没准备计划？,他们/计划/准备/问/。,
gen-01685,A,司机吃了苹果。,司机/苹果/吃/。,
gen-01686,A,中午邻居写了作业。,中午/邻居/作业/写/。,
gen-01687,A,他在食堂学了舞蹈。,食堂/他/舞蹈/学/。,
gen-01688,A,学生上周喝了水。,学生/水/喝/上周/。,
gen-01689,A,上周大家带了电脑。,上周/大家/电脑/带/。,
gen-01690,A,孩子比学生更认真。,孩子/学生/认真/更/。,
gen-01691,A,我们没看杂志。,我们/杂志/看/没/。,
gen-01692,A,大家在车站吃了面包。,车站/大家/面包/吃/。,
gen-01693,A,同事讨论没讨论问题？,同事/问题/讨论/问/。,
gen-01694,A,上周医生在市场准备了早饭，很快。,上周/医生/市场/早饭/准备/很快/。,
gen-01695,A,同事早上听了故事。,同事/故事/听/早上/。,
gen-01696,A,邻居吃了苹果。,邻居/苹果/吃/。,
gen-01697,A,妈妈没有上班。,妈妈/上班/没有/。,
gen-01698,A,周末她在路上看了地图，很久。,周末/她/路上/地图/看/很久/。,
gen-01699,A,孩子写了消息。,孩子/消息/写/。,
gen-01700,A,刚才爸爸看了书。,刚才/爸爸/书/看/。,
gen-01701,A,朋友今天很干净。,朋友/今天/干净/。,
gen-01702,A,妈妈喝了牛奶。,妈妈/牛奶/喝/。,
gen-01703,A,医生今天很困难。,医生/今天/困难/。,
gen-01704,A,他们在图书馆讨论了计划。,图书馆/他们/计划/讨论/。,
gen-01705,A,他做没做午饭？,他/午饭/做/问/。,
gen-01706,A,你准备了比赛。,你/比赛/准备/。,
gen-01707,A,护士今天准备了早饭。,护士/早饭/准备/今天/。,
gen-01708,A,爸爸在医院做了计划。,医院/爸爸/计划/做/。,
gen-01709,A,昨天他们看了消息。,昨天/他们/消息/看/。,
gen-01710,A,邻居中午准备了礼物。,邻居/礼物/准备/中午/。,
gen-01711,A,司机今天很认真。,司机/今天/认真/。,
gen-01712,A,他们带了三个办法。,他们/三/个/办法/带/。,
gen-01713,A,他没买鞋。,他/鞋/买/没/。,
gen-01714,A,邻居准备没准备早饭？,邻居/早饭/准备/问/。,
gen-01715,A,晚上老师写了文件。,晚上/老师/文件/写/。,
gen-01716,A,孩子找了办法。,孩子/办法/找/。,
gen-01717,A,明天大家在图书馆吃了药，很久。,明天/大家/图书馆/药/吃/很久/。,
gen-01718,A,老师没有写消息。,老师/消息/写/没有/。,
gen-01719,A,孩子今天很认真。,孩子/今天/认真/。,
gen-01720,A,邻居在医院看了杂志。,医院/邻居/杂志/看/。,
gen-01721,A,医生没买苹果。,医生/苹果/买/没/。,
gen-01722,A,学生准备了两张火车票。,学生/两/张/火车票/准备/。,
gen-01723,A,去年护士在公司吃了面包，很高兴。,去年/护士/公司/面包/吃/很高兴/。,
gen-01724,A,下午老师在宿舍讨论了故事，已经。,下午/老师/宿舍/故事/讨论/已经/。,
gen-01725,A,妈妈比他更高。,妈妈/他/高/更/。,
gen-01726,A,你吃没吃午饭？,你/午饭/吃/问/。,
gen-01727,A,司机没有开会。,司机/开会/没有/。,
gen-01728,A,你比我更忙。,你/我/忙/更/。,
gen-01729,A,邻居学没学英语？,邻居/英语/学/问/。,
gen-01730,A,同事在深圳买了电脑。,深圳/同事/电脑/买/。,
gen-01731,A,大家买了杂志。,大家/杂志/买/。,
gen-01732,A,老板晚上听了故事。,老板/故事/听/晚上/。,
gen-01733,A,他上周做了蛋糕。,他/蛋糕/做/上周/。,
gen-01734,A,妈妈在商店喝了牛奶。,商店/妈妈/牛奶/喝/。,
gen-01735,A,我们听了故事。,我们/故事/听/。,
gen-01736,A,下午爸爸在车站找了文件，一起。,下午/爸爸/车站/文件/找/一起/。,
gen-01737,A,下午他们在办公室讨论了故事，很高兴。,下午/他们/办公室/故事/讨论/很高兴/。,
gen-01738,A,护士吃没吃晚饭？,护士/晚饭/吃/问/。,
gen-01739,A,你今天看了书。,你/书/看/今天/。,
gen-01740,A,妈妈今天很安静。,妈妈/今天/安静/。,
gen-01741,A,上周司机在银行听了音乐，已经。,上周/司机/银行/音乐/听/已经/。,
gen-01742,A,她刚才做了作业。,她/作业/做/刚才/。,
gen-01743,A,他们看了五条消息。,他们/五/条/消息/看/。,
gen-01744,A,大家看了一场比赛。,大家/一/场/比赛/看/。,
gen-01745,A,刚才司机准备了晚饭。,刚才/司机/晚饭/准备/。,
gen-01746,A,今天爸爸在深圳准备了晚饭，很久。,今天/爸爸/深圳/晚饭/准备/很久/。,
gen-01747,A,去年她在办公室买了苹果，很认真。,去年/她/办公室/苹果/买/很认真/。,
gen-01748,A,邻居买了一瓶牛奶。,邻居/一/瓶/牛奶/买/。,
gen-01749,A,老师中午吃了早饭。,老师/早饭/吃/中午/。,
gen-01750,A,他带了药。,他/药/带/。,
gen-01751,A,孩子在公司写了文件。,公司/孩子/文件/写/。,
gen-01752,A,孩子没看书。,孩子/书/看/没/。,
gen-01753,A,我们在教室喝了牛奶。,教室/我们/牛奶/喝/。,
gen-01754,A,医生今天很简单。,医生/今天/简单/。,
gen-01755,A,上周老师在市场听了新闻，很久。,上周/老师/市场/新闻/听/很久/。,
gen-01756,A,大家准备了四个橘子。,大家/四/个/橘子/准备/。,
gen-01757,A,去年他们在饭店准备了礼物，很认真。,去年/他们/饭店/礼物/准备/很认真/。,
gen-01758,A,老板做了午饭。,老板/午饭/做/。,
gen-01759,A,我们没有出发。,我们/出发/没有/。,
gen-01760,A,他写没写计划？,他/计划/写/问/。,
gen-01761,A,司机在公司写了文件。,公司/司机/文件/写/。,
gen-01762,A,爸爸下午看了消息。,爸爸/消息/看/下午/。,
gen-01763,A,大家买了一份礼物。,大家/一/份/礼物/买/。,
gen-01764,A,老板喝了水。,老板/水/喝/。,
gen-01765,A,她在饭店听了故事。,饭店/她/故事/听/。,
gen-01766,A,早上大家在公司带了礼物，很认真。,早上/大家/公司/礼物/带/很认真/。,
gen-01767,A,他在学校学了舞蹈。,学校/他/舞蹈/学/。,
gen-01768,A,朋友准备了四个问题。,朋友/四/个/问题/准备/。,
gen-01769,A,他们没有找文件。,他们/文件/找/没有/。,
gen-01770,A,下午客人吃了苹果。,下午/客人/苹果/吃/。,
gen-01771,A,我在图书馆买了药。,图书馆/我/药/买/。,
gen-01772,A,护士今天很便宜。,护士/今天/便宜/。,
gen-01773,A,司机比爸爸更安静。,司机/爸爸/安静/更/。,
gen-01774,A,同事比孩子更忙。,同事/孩子/忙/更/。,
gen-01775,A,明天我们吃了晚饭。,明天/我们/晚饭/吃/。,
gen-01776,A,今天老师吃了晚饭。,今天/老师/晚饭/吃/。,
gen-01777,A,我们今天很方便。,我们/今天/方便/。,
gen-01778,A,客人在广州看了电视剧。,广州/客人/电视剧/看/。,
gen-01779,A,护士看了四台电脑。,护士/四/台/电脑/看/。,
gen-01780,A,她买了书。,她/书/买/。,
gen-01781,A,爸爸没迟到。,爸爸/迟到/没/。,
gen-01782,A,朋友吃了香蕉。,朋友/香蕉/吃/。,
gen-01783,A,司机在饭店讨论了消息。,饭店/司机/消息/讨论/。,
gen-01784,A,客人比爸爸更高。,客人/爸爸/高/更/。,
gen-01785,A,孩子今天很安全。,孩子/今天/安全/。,
gen-01786,A,大家讨论没讨论消息？,大家/消息/讨论/问/。,
gen-01787,A,学生今天很紧张。,学生/今天/紧张/。,
gen-01788,A,上周他在车站准备了礼物，很久。,上周/他/车站/礼物/准备/很久/。,
gen-01789,A,晚上邻居准备了午饭。,晚上/邻居/午饭/准备/。,
gen-01790,A,医生今天很高兴。,医生/今天/高兴/。,
gen-01791,A,爸爸晚上讨论了办法。,爸爸/办法/讨论/晚上/。,
gen-01792,A,晚上学生在门口看了新闻，已经。,晚上/学生/门口/新闻/看/已经/。,
gen-01793,A,去年护士在商店写了计划，很久。,去年/护士/商店/计划/写/很久/。,
gen-01794,A,晚上他们在上海看了杂志，已经。,晚上/他们/上海/杂志/看/已经/。,
gen-01795,A,周末司机买了书。,周末/司机/书/买/。,
gen-01796,A,他们没去市场。,他们/市场/去/没/。,
gen-01797,A,学生看了一份礼物。,学生/一/份/礼物/看/。,
gen-01798,A,同事写了消息。,同事/消息/写/。,
gen-01799,A,他们昨天带了礼物。,他们/礼物/带/昨天/。,
gen-01800,A,下午她在上海看了电视剧，一起。,下午/她/上海/电视剧/看/一起/。,
gen-01801,A,司机没做办法。,司机/办法/做/没/。,
gen-01802,A,客人写了文件。,客人/文件/写/。,
gen-01803,A,护士听了音乐。,护士/音乐/听/。,
gen-01804,A,去年邻居喝了水。,去年/邻居/水/喝/。,
gen-01805,A,老板喝了咖啡。,老板/咖啡/喝/。,
gen-01806,A,刚才同事买了蛋糕。,刚才/同事/蛋糕/买/。,
gen-01807,A,护士准备了一条消息。,护士/一/条/消息/准备/。,
gen-01808,A,同事明天做了办法。,同事/办法/做/明天/。,
gen-01809,A,刚才护士学了中文。,刚才/护士/中文/学/。,
gen-01810,A,司机不带手机。,司机/手机/带/不/。,
gen-01811,A,同事准备了两瓶水。,同事/两/瓶/水/准备/。,
gen-01812,A,老板明天学了中文。,老板/中文/学/明天/。,
gen-01813,A,医生在饭店听了故事。,饭店/医生/故事/听/。,
gen-01814,A,护士买了面包。,护士/面包/买/。,
gen-01815,A,中午孩子在超市学了中文，很久。,中午/孩子/超市/中文/学/很久/。,
gen-01816,A,我们找了手机。,我们/手机/找/。,
